name,activity_date,activity_headline,activity_description,activity_source,activity_url,activity_type,full_text,strategy_insights,leadership_changes,news_presence_score
DNS Capital,,,,,,,,,,0
Beverly Capital,,,,,,,,,,0
Pitcairn,2025-01-30,Pitcairn wades into RIA business,Pitcairn acquires Baltimore-based advisory firm Brightside Partners and establishes a new RIA.,Investment News,https://www.investmentnews.com/rias/family-office-pitcairn-wades-into-ria-business-with-brightside-partners-deal/259126,acquisition,The Pennsylvania-based family office announced it has acquired Baltimore-based advisory firm Brightside Partners alongside which it's established a new RIA.,"Pitcairn is expanding into Registered Investment Advisory (RIA) space, suggesting a strategic shift towards more direct client engagement.",,5
Promus Holdings,,,,,,,,,,0
AP Family Office,,,,,,,,,,0
Ariel Investments,2023-11-07,Ariel Investments buys My Code,"Ariel Alternatives acquires a majority stake in My Code, a multicultural media and marketing services company.",Wall Street Journal,https://www.wsj.com/articles/ariel-investments-buys-multicultural-media-company-my-code-be07b308,acquisition,Ariel Alternatives bought just under a 60% stake in My Code from private-equity firm Falfurrias Capital Partners and other investors.,"Ariel Investments is focusing on acquiring stakes in diverse media and communication sectors, targeting minority-owned entities.",,7
Ariel Investments,2022-04-30,Ariel Alternatives acquires Sorenson Communications,Ariel Alternatives announces the acquisition of a leading communications provider for people who are Deaf and hard-of-hearing.,Ariel Investments News,https://www.arielinvestments.com/article/ariel-alternatives-acquires-sorenson-communications/,acquisition,"In April 2022, Project Black acquired Sorenson, the leading U.S. communications provider for people who are Deaf and hard-of-hearing.","Ariel Investments is focusing on acquiring stakes in diverse media and communication sectors, targeting minority-owned entities.",,7
Gresham Partners,,,,,,,,,,0
Mandell Ventures,,,,,,,,,,0
Dolan Family Partners,,,,,,,,,,0
Chicago Capital,,,,,,,,,,0
